=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.04.09 16:10:48 =~=~=~=~=~=~=~=~=~=~=~=
Tem3,Setpoint:95.50,Temperature:46.44,Duty:100.00,
Time:0:0:17,Ideal:85.14,Setpoint:95.50,Temperature:78.15,Duty:100.00,
Time:0:0:17,Ideal:85.14,Setpoint:95.50,Temperature:78.25,Duty:100.00,
Time:0:0:17,Ideal:85.14,Setpoint:95.50,Temperature:78.35,Duty:100.00,
Time:0:0:17,Ideal:85.14,Setpoint:95.50,Temperature:78.42,Duty:100.00,
Time:0:0:17,Ideal:85.14,Setpoint:95.50,Temperature:78.52,Duty:100.00,
Time:0:0:17,Ideal:85.14,Setpoint:95.50,Temperature:78.66,Duty:100.00,
Time:0:0:17,Ideal:85.14,Setpoint:95.50,Temperature:78.73,Duty:100.00,
Time:0:0:17,Ideal:85.14,Setpoint:95.50,Temperature:78.83,Duty:100.00,
Time:0:0:17,Ideal:85.14,Setpoint:95.50,Temperature:78.94,Duty:100.00,
Time:0:0:18,Ideal:87.14,Setpoint:95.50,Temperature:79.00,Duty:100.00,
Time:0:0:18,Ideal:87.14,Setpoint:95.50,Temperature:79.14,Duty:100.00,
Time:0:0:18,Ideal:87.14,Setpoint:95.50,Temperature:79.21,Duty:100.00,
Time:0:0:18,Ideal:87.14,Setpoint:95.50,Temperature:79.28,Duty:100.00,
Time:0:0:18,Ideal:87.14,Setpoint:95.50,Temperature:79.38,Duty:100.00,
Time:0:0:18,Ideal:87.14,Setpoint:95.50,Temperature:79.49,Duty:100.00,
Time:0:0:18,Ideal:87.14,Setpoint:95.50,Temperature:79.59,Duty:100.00,
Time:0:0:18,Ideal:87.14,Setpoint:95.50,Temperature:79.66,Duty:100.00,
Time:0:0:18,Ideal:87.14,Setpoint:95.50,Temperature:79.76,Duty:100.00,
Time:0:0:18,Ideal:87.14,Setpoint:95.50,Temperature:79.86,Duty:100.00,
Time:0:0:18,Ideal:87.14,Setpoint:95.50,Temperature:79.97,Duty:100.00,
Time:0:0:19,Ideal:89.14,Setpoint:95.50,Temperature:80.04,Duty:100.00,
Time:0:0:19,Ideal:89.14,Setpoint:95.50,Temperature:80.11,Duty:100.00,
Time:0:0:19,Ideal:89.14,Setpoint:95.50,Temperature:80.24,Duty:100.00,
Time:0:0:19,Ideal:89.14,Setpoint:95.50,Temperature:80.35,Duty:100.00,
Time:0:0:19,Ideal:89.14,Setpoint:95.50,Temperature:80.41,Duty:100.00,
Time:0:0:19,Ideal:89.14,Setpoint:95.50,Temperature:80.52,Duty:100.00,
Time:0:0:19,Ideal:89.14,Setpoint:95.50,Temperature:80.59,Duty:100.00,
Time:0:0:19,Ideal:89.14,Setpoint:95.50,Temperature:80.69,Duty:100.00,
Time:0:0:19,Ideal:89.14,Setpoint:95.50,Temperature:80.79,Duty:100.00,
Time:0:0:19,Ideal:89.14,Setpoint:95.50,Temperature:80.90,Duty:100.00,
Time:0:0:19,Ideal:89.14,Setpoint:95.50,Temperature:80.96,Duty:100.00,
Time:0:0:20,Ideal:91.14,Setpoint:95.50,Temperature:81.07,Duty:100.00,
Time:0:0:20,Ideal:91.14,Setpoint:95.50,Temperature:81.14,Duty:100.00,
Time:0:0:20,Ideal:91.14,Setpoint:95.50,Temperature:81.24,Duty:100.00,
Time:0:0:20,Ideal:91.14,Setpoint:95.50,Temperature:81.34,Duty:100.00,
Time:0:0:20,Ideal:91.14,Setpoint:95.50,Temperature:81.45,Duty:100.00,
Time:0:0:20,Ideal:91.14,Setpoint:95.50,Temperature:81.52,Duty:100.00,
